"","Escolaridade_pai","Escolaridade_mãe","Renda","Auxílio","Escola","Dificuldade"
"365","3","1","2","2","2","0"
"4348","3","3","3","2","2","0"
"2634","1","2","1","2","1","1"
"82","2","3","1","2","1","0"
"863","2","2","2","2","1","1"
"2663","2","3","1","2","1","1"
"965","1","1","3","2","1","1"
"2761","2","2","1","2","1","1"
"2055","2","2","1","2","1","0"
"2364","3","3","1","1","1","1"
"3422","1","1","2","2","2","1"
"5176","3","2","1","2","1","1"
"5502","1","3","1","2","1","1"
"2671","2","2","2","1","1","0"
"1437","2","3","2","2","1","1"
"3245","2","2","1","2","1","1"
"2181","1","1","1","2","1","1"
"3044","1","1","1","1","1","1"
"4864","3","1","1","2","1","1"
"2154","1","2","3","2","1","1"
"1607","3","3","3","2","2","1"
"366","2","3","3","2","2","1"
"77","1","1","1","2","1","1"
"4796","2","2","2","2","1","0"
"2626","1","1","1","2","1","1"
"4821","2","2","2","2","1","1"
"4001","1","1","1","2","1","1"
"5458","1","1","1","2","1","1"
"2697","3","3","3","2","2","1"
"3170","2","2","2","1","1","1"
"3021","3","3","2","2","1","1"
"4452","1","2","2","2","2","1"
"2805","3","2","2","2","2","1"
"561","3","2","3","2","2","0"
"5396","1","1","2","2","1","1"
"2659","2","1","2","2","1","0"
"2243","1","2","2","2","1","1"
"401","3","2","3","2","2","1"
"3833","1","2","2","1","1","1"
"3058","1","1","2","1","1","0"
"4071","3","2","3","2","1","1"
"3062","2","3","2","2","2","1"
"1630","1","1","1","1","1","1"
"2165","2","2","3","2","2","1"
"811","2","2","1","2","1","1"
"1083","2","1","3","2","1","1"
"2603","2","1","2","2","1","1"
"1610","1","2","2","2","2","0"
"569","3","3","3","2","2","1"
"643","1","2","1","2","2","1"
"1046","2","3","3","2","1","1"
"4814","3","3","2","2","2","0"
"407","2","1","1","2","1","1"
"3727","2","2","2","2","1","1"
"286","3","3","3","1","2","0"
"30","2","2","3","2","2","1"
"300","3","3","3","2","2","1"
"2391","2","2","3","2","2","1"
"577","2","2","3","2","2","1"
"3380","3","2","3","2","2","1"
"4701","1","1","1","2","1","1"
"4927","1","2","1","1","1","1"
"4569","2","2","2","1","1","0"
"4819","1","1","1","1","1","0"
"381","3","2","3","2","2","0"
"4887","3","3","3","2","2","1"
"3996","2","2","1","2","2","0"
"5313","1","3","1","2","1","1"
"177","1","1","2","2","1","1"
"5277","3","3","3","2","2","1"
"2395","3","3","3","2","1","1"
"2795","2","2","1","2","1","0"
"2991","2","3","2","2","1","1"
"4468","2","2","1","2","2","1"
"3184","1","2","2","2","1","1"
"1693","1","1","2","2","1","1"
"412","1","1","3","2","2","1"
"4906","2","2","3","2","2","0"
"2453","1","1","2","1","1","1"
"1470","3","3","2","2","2","0"
"2137","2","2","2","2","1","1"
"2683","2","2","1","2","2","1"
"2253","1","1","2","1","1","1"
"5050","2","2","2","2","1","1"
"2720","1","2","2","2","1","0"
"2053","2","2","2","2","2","0"
"1029","1","2","1","2","1","1"
"2225","1","1","2","2","1","1"
"165","3","1","3","2","2","0"
"1315","3","3","3","2","2","0"
"2937","2","2","1","2","1","1"
"4493","2","2","2","2","2","1"
"1347","3","3","2","1","2","0"
"3230","1","1","2","2","1","1"
"2895","2","3","2","2","1","1"
"2010","3","2","2","2","2","0"
"942","1","2","2","1","1","1"
"1176","1","2","1","2","1","1"
"3508","1","1","3","2","1","1"
"2153","2","3","3","2","2","0"
"3065","2","2","2","2","2","1"
"1450","2","2","2","2","1","1"
"2303","2","2","2","2","2","0"
"1065","1","1","2","2","1","1"
"1328","3","3","3","2","2","1"
"4812","2","2","1","1","1","1"
"798","2","2","2","2","2","0"
"2287","2","2","2","2","1","0"
"5459","1","2","1","2","1","1"
"3235","1","2","2","2","1","1"
"397","2","3","2","2","1","1"
"1431","2","3","3","2","2","1"
"4501","2","1","1","1","1","0"
"614","2","2","3","2","1","1"
"2479","3","3","2","1","1","0"
"1250","3","3","3","2","2","0"
"5081","2","3","1","2","1","1"
"5282","3","3","3","2","2","0"
"1357","1","2","2","1","2","0"
"605","3","1","2","2","1","1"
"402","2","3","3","2","2","1"
"97","3","2","3","2","2","1"
"3249","1","2","1","2","1","0"
"4910","3","2","3","2","2","1"
"5324","2","2","2","2","2","1"
"1120","1","1","2","2","1","0"
"4902","3","3","2","2","2","1"
"4872","1","3","3","2","1","1"
"5159","1","1","2","2","1","1"
"2428","1","2","2","2","2","0"
"3897","2","2","3","2","1","0"
"1322","2","3","2","2","2","1"
"4980","2","2","3","2","1","1"
"5085","2","3","1","2","1","0"
"5475","1","1","2","2","1","1"
"3586","3","3","2","2","2","0"
"3289","2","2","1","2","1","1"
"3465","2","2","2","2","2","1"
"5293","1","3","2","2","2","1"
"123","3","3","3","2","2","1"
"1168","2","2","2","2","2","1"
"2356","3","3","3","2","2","0"
"4669","1","1","2","2","2","0"
"3152","3","3","3","2","2","1"
"5285","2","2","2","1","2","1"
"1859","3","3","3","2","2","1"
"1928","3","2","2","2","2","0"
"2367","3","3","3","2","2","0"
"4667","2","3","3","2","2","0"
"4809","2","2","2","2","1","0"
"2507","2","3","2","2","2","0"
"1344","3","3","2","1","2","0"
"4256","3","1","2","2","2","0"
"3947","1","2","1","2","1","1"
"298","3","3","2","2","2","1"
"532","2","1","3","2","1","0"
"3241","1","1","3","2","1","1"
"1067","2","1","2","2","1","1"
"815","1","1","1","1","1","1"
"4957","2","2","2","2","1","0"
"5371","1","1","2","1","1","1"
"5187","2","3","3","2","1","1"
"3775","2","2","3","2","2","0"
"4049","2","3","1","2","1","1"
"4310","2","1","3","2","1","0"
"4440","2","3","1","2","2","1"
"2489","2","3","3","2","1","1"
"4967","1","1","1","2","1","1"
"4611","3","2","2","2","2","1"
"706","2","2","2","2","2","0"
"3356","1","2","2","2","1","1"
"3798","1","2","3","2","2","0"
"3806","2","3","3","2","1","0"
"2190","1","1","3","2","1","1"
"2865","1","1","1","2","1","1"
"3238","1","1","3","2","1","1"
"2357","3","3","3","2","2","1"
"2133","3","3","3","2","2","1"
"1367","3","3","3","2","2","1"
"2508","1","1","3","2","1","0"
"4557","3","3","3","2","1","0"
