"","Escolaridade_pai","Escolaridade_mãe","Renda","Auxílio","Escola","Dificuldade"
"4405","1","1","1","2","1","1"
"176","2","2","2","2","2","1"
"1712","1","1","2","2","1","1"
"3892","1","3","2","2","1","1"
"5191","2","2","1","1","2","1"
"2128","3","3","2","2","2","1"
"4840","2","2","2","1","1","1"
"2024","1","3","2","2","1","1"
"764","3","3","3","2","2","1"
"563","2","2","1","2","2","0"
"3485","1","2","1","1","2","1"
"3334","2","2","1","2","1","1"
"5135","3","3","3","2","2","0"
"593","2","2","2","2","2","1"
"3441","2","3","2","1","2","0"
"3808","2","3","3","2","2","1"
"1170","1","1","3","2","1","0"
"4448","3","3","1","2","2","1"
"1","1","2","1","2","1","1"
"1426","2","3","1","2","2","0"
"3472","3","2","3","2","1","0"
"2275","1","2","2","2","1","1"
"3330","3","3","2","2","1","1"
"4236","1","1","2","1","2","1"
"5340","3","1","1","2","1","1"
"87","3","3","3","2","2","0"
"3088","2","2","3","1","1","1"
"2949","3","1","1","2","2","0"
"2505","3","2","2","1","2","1"
"2969","1","2","2","1","1","1"
"2913","3","3","3","2","2","1"
"318","3","3","3","2","2","0"
"3541","2","2","2","2","1","0"
"44","1","3","2","2","2","1"
"5397","1","2","1","2","1","0"
"1662","2","3","2","2","1","1"
"3063","1","3","2","2","2","0"
"4411","2","2","1","2","1","1"
"5105","2","3","2","2","2","1"
"1172","2","2","1","2","1","1"
"4794","3","3","2","2","2","1"
"424","3","3","3","2","2","0"
"1778","2","2","2","2","1","1"
"3086","3","3","2","2","2","1"
"5327","2","2","1","2","2","1"
"1237","3","2","1","2","2","0"
"2158","1","3","2","2","1","1"
"3490","2","2","3","2","1","0"
"368","3","3","2","2","2","0"
"1641","2","1","1","1","1","1"
"3035","2","1","1","1","1","1"
"4507","3","2","2","2","2","1"
"2694","3","3","3","2","2","0"
"4276","1","1","1","2","1","0"
"1846","2","2","1","2","1","0"
"1639","1","3","2","1","1","1"
"4775","1","3","2","2","2","1"
"3807","3","3","3","2","1","1"
"3168","2","3","2","2","1","1"
"3397","3","3","3","2","1","1"
"2977","1","3","1","1","1","1"
"4250","2","3","3","2","2","0"
"5048","2","2","2","2","1","0"
"1623","2","3","2","1","1","0"
"1691","1","2","2","2","2","1"
"744","1","1","1","2","1","1"
"4364","1","1","1","1","1","1"
"3232","1","1","2","2","1","1"
"3655","2","3","3","2","2","1"
"4095","3","3","2","1","1","0"
"1560","3","3","3","2","2","1"
"2022","1","3","1","2","1","1"
"574","2","2","3","1","1","1"
"1555","3","2","3","2","1","0"
"2446","1","1","1","2","1","1"
"1219","3","3","1","2","1","1"
"2809","3","3","3","2","2","0"
"785","3","3","3","2","2","1"
"5213","3","3","1","2","1","1"
"1036","2","2","3","2","1","1"
"3059","2","2","2","2","2","0"
"3192","1","1","1","2","1","1"
"2711","2","3","1","2","1","1"
"5401","2","1","3","2","1","1"
"447","2","3","3","2","1","1"
"5254","3","3","3","2","2","0"
"2075","3","2","2","2","1","1"
"2924","2","2","3","2","2","1"
"1781","2","2","2","2","1","1"
"838","1","1","1","2","1","0"
"5013","3","3","3","2","2","1"
"377","3","3","3","2","2","1"
"3698","2","2","2","2","2","0"
"2151","2","2","3","2","2","0"
"3954","2","1","2","2","1","1"
"3976","3","3","2","2","2","1"
"4321","1","1","2","2","1","0"
"5223","1","2","1","2","2","1"
"3394","2","2","2","2","2","1"
"149","2","3","2","1","1","0"
"3139","3","3","3","2","2","1"
"3614","1","1","2","2","1","1"
